Flag,Phrase,FlagName,CategoryNumber,ID,RequiredFlags,IncompatibleStatus,IncompatibleUsage,RelatedFlag,RequiredDifficulty,Mandatory,CategoryName,CategoryTextTag,LayerType,ToyUsed,RequiredStatus,RequiresReadyStep,InteractionDefault,UrgeDisabled,MinimumTime,Kink,BasePleasureIntensity,LayerPleasureIntensity
KnottedAnalInsertableDepthDeep,the <b>whole shaft</b> of [ITS/YOUR/THEIR] <b>[KNOTTEDANALINSERTABLE]</b>,Knotted Anal Insertable,3,3,knottedanalinsertable,AnalBusy,,,Anal_1_3,,Depth,[INTERACTKNOTTEDANALINSERTABLE],"Penetration, Anal",[KNOTTEDANALINSERTABLE],,Yes,Yes,,,80,-1,2
KnottedAnalInsertableDepthKnot,the <b>knot</b> of [ITS/YOUR/THEIR] <b>[KNOTTEDANALINSERTABLE]</b>,Knotted Anal Insertable,3,4,knottedanalinsertable,AnalBusy,,,Anal_1_3,,Depth,[INTERACTKNOTTEDANALINSERTABLE],"Penetration, Anal",[KNOTTEDANALINSERTABLE],,Yes,Yes,,,80,-1,3
KnottedAnalInsertableDepthGeneric,[ITS/YOUR/THEIR] <b>[KNOTTEDANALINSERTABLE]</b>,Knotted Anal Insertable,3,5,knottedanalinsertable,AnalBusy,,,Anal_1_3,,Depth,[INTERACTKNOTTEDANALINSERTABLE],"Penetration, Anal",[KNOTTEDANALINSERTABLE],,Yes,Yes,,,80,-1,2
SmallPlugVariantDefault,<b>play with</b> the <b>[SMALLPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Small Plug,1,0,smallplug,,,,Anal_1_0,M,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,-1
SmallPlugVariantSqueezeSimple,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around [ITS/YOUR/THEIR] <b>[SMALLPLUG]</b>,Small Plug,1,1,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,1
SmallPlugVariantSqueezeWide,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around the <b>widest part</b> of [ITS/YOUR/THEIR] <b>[SMALLPLUG]</b>,Small Plug,1,2,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,1
SmallPlugVariantFuckQuickly,<b>quickly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[SMALLPLUG]</b>,Small Plug,1,3,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,3
SmallPlugVariantFuckSlowly,<b>slowly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[SMALLPLUG]</b>,Small Plug,1,4,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,1
SmallPlugVariantFuckSimple,<b>fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[SMALLPLUG]</b>,Small Plug,1,5,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,3
SmallPlugVariantPush,<b>push on the end</b> of the <b>[SMALLPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Small Plug,1,6,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,1
SmallPlugVariantPull,<b>lightly tug</b> on the <b>[SMALLPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Small Plug,1,7,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,1
SmallPlugVariantWiggle,<b>wiggle</b> the <b>[SMALLPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Small Plug,1,8,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,1
SmallPlugVariantTap,<b>tap</b> on the <b>[SMALLPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Small Plug,1,9,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,-1
SmallPlugVariantTwist,<b>twist</b> the <b>[SMALLPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Small Plug,1,10,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,1
SmallPlugVariantPlay,<b>play with</b> the <b>[SMALLPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Small Plug,1,11,smallplug,,,,Anal_1_0,,Variant,[INTERACTSMALLPLUG],"Plug, Anal",[SMALLPLUG],,Yes,Yes,,,40,-1,2
MediumPlugVariantDefault,<b>play with</b> the <b>[MEDIUMPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Medium Plug,1,0,mediumplug,,,,Anal_1_2,M,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,-1
MediumPlugVariantSqueezeSimple,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around [ITS/YOUR/THEIR] <b>[MEDIUMPLUG]</b>,Medium Plug,1,1,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,1
MediumPlugVariantSqueezeWide,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around the <b>widest part</b> of [ITS/YOUR/THEIR] <b>[MEDIUMPLUG]</b>,Medium Plug,1,2,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,1
MediumPlugVariantFuckQuickly,<b>quickly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[MEDIUMPLUG]</b>,Medium Plug,1,3,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,3
MediumPlugVariantFuckSlowly,<b>slowly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[MEDIUMPLUG]</b>,Medium Plug,1,4,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,1
MediumPlugVariantFuckSimple,<b>fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[MEDIUMPLUG]</b>,Medium Plug,1,5,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,3
MediumPlugVariantPush,<b>push on the end</b> of the <b>[MEDIUMPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Medium Plug,1,6,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,1
MediumPlugVariantPull,<b>lightly tug</b> on the <b>[MEDIUMPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Medium Plug,1,7,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,1
MediumPlugVariantWiggle,<b>wiggle</b> the <b>[MEDIUMPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Medium Plug,1,8,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,1
MediumPlugVariantTap,<b>tap</b> on the <b>[MEDIUMPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Medium Plug,1,9,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,-1
MediumPlugVariantTwist,<b>twist</b> the <b>[MEDIUMPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Medium Plug,1,10,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,1
MediumPlugVariantPlay,<b>play with</b> the <b>[MEDIUMPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Medium Plug,1,11,mediumplug,,,,Anal_1_2,,Variant,[INTERACTMEDIUMPLUG],"Plug, Anal",[MEDIUMPLUG],,Yes,Yes,,,60,-1,2
LargePlugVariantDefault,<b>play with</b> the <b>[LARGEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Large Plug,1,0,largeplug,,,,Anal_1_3,M,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,-1
LargePlugVariantSqueezeSimple,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around [ITS/YOUR/THEIR] <b>[LARGEPLUG]</b>,Large Plug,1,1,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,1
LargePlugVariantSqueezeWide,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around the <b>widest part</b> of [ITS/YOUR/THEIR] <b>[LARGEPLUG]</b>,Large Plug,1,2,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,1
LargePlugVariantFuckQuickly,<b>quickly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[LARGEPLUG]</b>,Large Plug,1,3,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,3
LargePlugVariantFuckSlowly,<b>slowly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[LARGEPLUG]</b>,Large Plug,1,4,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,1
LargePlugVariantFuckSimple,<b>fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[LARGEPLUG]</b>,Large Plug,1,5,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,3
LargePlugVariantPush,<b>push on the end</b> of the <b>[LARGEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Large Plug,1,6,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,1
LargePlugVariantPull,<b>lightly tug</b> on the <b>[LARGEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Large Plug,1,7,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,1
LargePlugVariantWiggle,<b>wiggle</b> the <b>[LARGEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Large Plug,1,8,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,1
LargePlugVariantTap,<b>tap</b> on the <b>[LARGEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Large Plug,1,9,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,-1
LargePlugVariantTwist,<b>twist</b> the <b>[LARGEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Large Plug,1,10,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,1
LargePlugVariantPlay,<b>play with</b> the <b>[LARGEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Large Plug,1,11,largeplug,,,,Anal_1_3,,Variant,[INTERACTLARGEPLUG],"Plug, Anal",[LARGEPLUG],,Yes,Yes,,,80,-1,2
VibratingPlugVariantDefault,<b>play with</b> the <b>[VIBRATINGPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Vibrating Plug,1,0,vibratingplug,,,,Anal_1_0,M,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,-1
VibratingPlugVariantSqueezeSimple,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around [ITS/YOUR/THEIR] <b>[VIBRATINGPLUG]</b>,Vibrating Plug,1,1,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,1
VibratingPlugVariantSqueezeWide,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around the <b>widest part</b> of [ITS/YOUR/THEIR] <b>[VIBRATINGPLUG]</b>,Vibrating Plug,1,2,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,1
VibratingPlugVariantFuckQuickly,<b>quickly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[VIBRATINGPLUG]</b>,Vibrating Plug,1,3,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,3
VibratingPlugVariantFuckSlowly,<b>slowly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[VIBRATINGPLUG]</b>,Vibrating Plug,1,4,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,1
VibratingPlugVariantFuckSimple,<b>fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[VIBRATINGPLUG]</b>,Vibrating Plug,1,5,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,3
VibratingPlugVariantPush,<b>push on the end</b> of the <b>[VIBRATINGPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Vibrating Plug,1,6,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,1
VibratingPlugVariantPull,<b>lightly tug</b> on the <b>[VIBRATINGPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Vibrating Plug,1,7,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,1
VibratingPlugVariantWiggle,<b>wiggle</b> the <b>[VIBRATINGPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Vibrating Plug,1,8,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,1
VibratingPlugVariantTap,<b>tap</b> on the <b>[VIBRATINGPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Vibrating Plug,1,9,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,-1
VibratingPlugVariantTwist,<b>twist</b> the <b>[VIBRATINGPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Vibrating Plug,1,10,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,1
VibratingPlugVariantPlay,<b>play with</b> the <b>[VIBRATINGPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Vibrating Plug,1,11,vibratingplug,,,,Anal_1_0,,Variant,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,2
VibratingPlugPowerDefault,,Vibrating Plug,2,0,vibratingplug,,,,Anal_1_0,,Power,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,-1
VibratingPlugPowerLow,while it's on <b>low power</b>,Vibrating Plug,2,1,vibratingplug,,,,Anal_1_0,,Power,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,0
VibratingPlugPowerMedium,while it's on <b>medium power</b>,Vibrating Plug,2,2,vibratingplug,,,,Anal_1_0,,Power,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,2
VibratingPlugPowerHigh,while it's on <b>high power</b>,Vibrating Plug,2,3,vibratingplug,,,,Anal_1_0,,Power,[INTERACTVIBRATINGPLUG],"Plug, Anal",[VIBRATINGPLUG],,Yes,Yes,,,40,-1,3
TailPlugVariantDefault,<b>wag</b> [ITS/YOUR] <b>[TAILPLUG]</b>,Tail Plug,1,0,tailplug,,,,Anal_1_0,M,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,-1
TailPlugVariantSqueezeSimple,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around [ITS/YOUR/THEIR] <b>[TAILPLUG]</b>,Tail Plug,1,1,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantSqueezeWide,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around the <b>widest part</b> of [ITS/YOUR/THEIR] <b>[TAILPLUG]</b>,Tail Plug,1,2,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantFuckQuickly,<b>quickly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[TAILPLUG]</b>,Tail Plug,1,3,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,3
TailPlugVariantFuckSlowly,<b>slowly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[TAILPLUG]</b>,Tail Plug,1,4,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantFuckSimple,<b>fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[TAILPLUG]</b>,Tail Plug,1,5,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,3
TailPlugVariantPush,<b>push on the end</b> of the <b>[TAILPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Tail Plug,1,6,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantTug,<b>lightly tug</b> on the <b>[TAILPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Tail Plug,1,7,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantWiggle,<b>wiggle</b> the <b>[TAILPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Tail Plug,1,8,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantTap,<b>tap</b> on the <b>[TAILPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Tail Plug,1,9,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,-1
TailPlugVariantTwist,<b>twist</b> the <b>[TAILPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Tail Plug,1,10,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantPlay,<b>play with</b> the <b>[TAILPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Tail Plug,1,11,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,2
TailPlugVariantWag,<b>wag</b> [ITS/YOUR] <b>[TAILPLUG]</b>,Tail Plug,1,12,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,2
TailPlugVariantPull,<b>pull on</b> [ITS/YOUR] <b>[TAILPLUG]</b>,Tail Plug,1,13,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,1
TailPlugVariantBrush,<b>brush</b> [ITS/YOUR] <b>[TAILPLUG]</b>,Tail Plug,1,14,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,,,,40,-1,-1
TailPlugVariantChase,<b>chase</b> [ITS/YOUR] <b>[TAILPLUG]</b>,Tail Plug,1,15,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,UrgeDisabled,30,40,-1,-1
TailPlugVariantLick,<b>lick</b> [ITS/YOUR] <b>[TAILPLUG]</b>,Tail Plug,1,16,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,-1
TailPlugVariantDeepthroat,<b>deepthroat</b> [ITS/YOUR] <b>[TAILPLUG]</b>,Tail Plug,1,17,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,,,,40,-1,-1
TailPlugVariantMouthHold,<b>hold</b> [ITS/YOUR] <b>[TAILPLUG]</b> in [ITS/YOUR] <b>mouth</b>,Tail Plug,1,18,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,-1
TailPlugVariantWrapYourself,<b>wrap</b> [ITS/YOUR] <b>[TAILPLUG] around [ITSELF/YOURSELF]</b>,Tail Plug,1,19,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,-1
TailPlugVariantWrapGenitals,<b>wrap</b> [ITS/YOUR] <b>[TAILPLUG] around [ITS/YOUR] genitals</b>,Tail Plug,1,20,tailplug,,,,Anal_1_0,,Variant,[INTERACTTAILPLUG],"Plug, Anal",[TAILPLUG],,Yes,Yes,,,40,-1,-1
InflatablePlugVariantDefault,<b>play with</b> the <b>[INFLATABLEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Inflatable Plug,1,0,inflatableplug,,,,Anal_1_1,M,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,-1
InflatablePlugVariantSqueezeSimple,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around [ITS/YOUR/THEIR] <b>[INFLATABLEPLUG]</b>,Inflatable Plug,1,1,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,1
InflatablePlugVariantSqueezeWide,<b>squeeze [ITS/YOUR/SUBNAME] ass</b> around the <b>widest part</b> of [ITS/YOUR/THEIR] <b>[INFLATABLEPLUG]</b>,Inflatable Plug,1,2,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,1
InflatablePlugVariantFuckQuickly,<b>quickly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[INFLATABLEPLUG]</b>,Inflatable Plug,1,3,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,3
InflatablePlugVariantFuckSlowly,<b>slowly fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[INFLATABLEPLUG]</b>,Inflatable Plug,1,4,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,1
InflatablePlugVariantFuckSimple,<b>fuck [ITS/YOUR/SUBNAME] ass</b> with [ITS/YOUR/THEIR] <b>[INFLATABLEPLUG]</b>,Inflatable Plug,1,5,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,3
InflatablePlugVariantPush,<b>push on the end</b> of the <b>[INFLATABLEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Inflatable Plug,1,6,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,1
InflatablePlugVariantPull,<b>lightly tug</b> on the <b>[INFLATABLEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Inflatable Plug,1,7,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,1
InflatablePlugVariantWiggle,<b>wiggle</b> the <b>[INFLATABLEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Inflatable Plug,1,8,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,1
InflatablePlugVariantTap,<b>tap</b> on the <b>[INFLATABLEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Inflatable Plug,1,9,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,-1
InflatablePlugVariantTwist,<b>twist</b> the <b>[INFLATABLEPLUG]</b> in <b>[ITS/YOUR/SUBNAME] ass</b>,Inflatable Plug,1,10,inflatableplug,,,,Anal_1_1,,Variant,[INTERACTINFLATABLEPLUG],"Plug, Anal",[INFLATABLEPLUG],,Yes,Yes,,,60,-1,1
