Tag,Explanation
Simple Ending Edging,"Edging prompts during the ending will be generic edge instructions. If you don't want to do gymnastics to get off, give this a go."
Nipple Stimulators,Toys that attach to your nipples and provide a pleasant sensation. The philosophical opposite to Nipple Clamps.
Disable Passcode,Removes the Passcode Entry screen at the beginning
Conditioning Stimuli,Stimuli used to condition you into arousal the same way a dog can be clicker-trained.
Conditioning Drone,A background noise to condition you into arousal. Headphones recommended. Strength of drone is based on your arousal level.
Conditioning Snaps,Completing edges will reward you with snaps to condition these snaps into arousal.
Conditioned Responses,"Upon achieving conditioning, these toggles will induce effects in you."
Drone Induced Arousal,"When not fully aroused, your Succubus will make you aroused by using the conditioning drone."
Snap Induced Edges,"When edging, your Succubus may ask you to edge when you hear a snap."
Second-Order,Second-order conditioning involves associating other stimuli with a learned response. The conditioning drone will be used to make you aroused by various toggles of your choice.
Worship Conditioning,Enables the conditioning drone during Worship scenes.
Conditioned Arousal,Enables the conditioning drone during tasks involving this toggle.
Conditioning,Classical Pavlovian Conditioning using audio cues.
Silent Orders,Removes the psychic whispers associated with an order. Note: The directionality / ASMR-like component of these orders can be adjusted through the sound menu.
Yandere Events,Enables Yandere events regardless of the Yandere Personality slider.
Edging Drone,Enables the conditioning drone while edging and cumming.
Lube,"Have her take control of what kind of ""lube"" you use. She will pick from enabled options for appropriate tasks, and change or refresh it every few minutes. Punishment lubes will be chosen when she is mad."
ToggleWhileFurious,Tasks involving this toggle will appear while her mood is Furious (also while she is feeling Devious).
ToggleWhileAngry,Tasks involving this toggle will appear while her mood is Angry.
ToggleWhileNeutral,Tasks involving this toggle will appear while her mood is Neutral.
ToggleWhileHappy,Tasks involving this toggle will appear while her mood is Happy.
ToggleWhilePleased,Tasks involving this toggle will appear while her mood is Pleased.
ToggleWhileMischievous,Tasks involving this toggle will appear while her mood is Mischievous (also while she is feeling Devious).
ToggleWhileArousal0,Tasks involving this toggle will appear while your Arousal is at level 1 (1 Flame).
ToggleWhileArousal1,Tasks involving this toggle will appear while your Arousal is at level 2 (2 Flames).
ToggleWhileArousal2,Tasks involving this toggle will appear while your Arousal is at level 3 (3 Flames).
ToggleWhileArousal3,Tasks involving this toggle will appear while your Arousal is at level 4 (4 Flames).
Cum Eating,Enables cum eating instructions after cumming. Enable post-ruin cum eating to also have it happen during the session.
Replace Cum with Juices,"When mentioning the word Cum during cum-eating instructions, it will be replaced with Juices."
Replace Cum with Grool,"When mentioning the word Cum during cum-eating instructions, it will be replaced with Grool."
PreparationList,Only disabling options will affect the game in this menu - the rest is provided for your own preparation purposes. Takes into account all enabled content.
Anal Exclusive Orgasm,She will only allow you to cum from anal stimulation.
Ruin as Punishment,She will only tell you to ruin yourself mid-session while angry at you.
Post Orgasm Torture,She will continue stimulating you after you cum at the end of a session.
Ruin After POT,She can tell you to ruin yourself after a segment of POT.
Cum After POT,She can tell you to cum after a segment of POT.
POT Cum as Lube,She can tell you to use your cum as lube during POT.
CEI During POT,She can tell you to keep your cum in your mouth during POT.
Self Facial,She can tell you to Ruin yourself on to your face mid-session. Requires mid-session Ruins to be enabled in Edging & Ruining.
Superior Service Sub,"A Superior Service Sub exists only to please their Mistress - your own pleasure is unnecessary./n<i>Focus on Service Acts, No Genital Stimulation Allowed</i>/n Unlock: Service Training, Worship"
Legendary Black Hole,"Can something that voracious ever truly be filled? Might as well try./n<i>Wear a giant butt plug all session</i>/n Unlock: A Plugged Day, Advanced Plug Fucking"
Absolute Anal Abuse,"Pound your ass like it owes you money with nothing but the biggest dicks right from the start./n<i>Focus on Huge Anal Toys, No Warmup, Only Anal Orgasms</i>/n Unlock: Anal Endurance"
Throw Away The Key,If you're already living in permanent chastity you might as well get rewarded for it./n<i>Wear a Chastity Device all session</i>/n Unlock: A Week In Lockup
Bottomless Cum Guzzler,"The ultimate Jizz Junky buffet. Just how many times can you milk youself in one sitting?/n<i>Repeated Ruins and Cum Eating</i>/n Unlock: Ruin & Repeat, Cum Dumpster"
Perfect Pain Pet: Penis,"Nothing brings her joy quite like watching you hit yourself for her pleasure. Care to indulge her?/n<i>All Applicable Pain Toggles, At Least One Impact Implement</i>/n Unlock: Blurring Lines, Impact Variety"
Perfect Pain Pet: Vagina,"Nothing brings her joy quite like watching you hit yourself for her pleasure. Care to indulge her?/n<i>All Applicable Pain Toggles, At Least One Impact Implement</i>/n Unlock: Blurring Lines, Impact Variety"
Maximum Masochist: Penis,"If having your cock and balls abused truly gets you off then this is the edict for you./n<i>Cock and Ball Pleasure and Pain, Only Orgasm with CBT</i>/n Unlock: Tease Or Torment? Cock And Balls"
Maximum Masochist: Vagina,"If having your pussy abused truly gets you off then this is the edict for you./n<i>Clit & Vagina Pleasure and Pain, Only Orgasm with CVT</i>/n Unlock: Tease Or Torment? Clit And Vagina"
Dick Destruction Demanded,"She's going to give you exactly what you want - lots of stroking. So what's with the name?/n<i>Only Rough Dick Stroking and Palming</i>/n Unlock: Palmed, Rough Jerking"
Certified Size Queen,"Fill your pussy with the monster cocks that you've been craving - no warmup necessary./n<i>Focus on Monster Vaginal Toys, No Warmup</i>/n Unlock: Vaginal Endurance"
Overstimulation Addict: Penis,"Push the concept of overstimulation to the max the way only a power tool can./n<i>Vibrator Focused on Sensitive Areas, Gratuitous POT</i>/n Unlock: POT: Penis, Powerful Vibrations: Penis"
Overstimulation Addict: Vagina,"Push the concept of overstimulation to the max the way only a power tool can./n<i>Vibrator Focused on Sensitive Areas, Gratuitous POT</i>/n Unlock: POT: Vagina, Powerful Vibrations: Vagina"
Attention Whore,"You love being the center of attention, so strut your stuff and show off for her./n<i>Performance, Body Writing, Vocalizations</i>/n Unlock: Dance Monkey, Body Writing, Loud & Proud"
Deepthroat Doctorate,She wants to make you choke on her cock all night long (Or Strapon depending on your settings)./n<i>Focus on Oral Toy</i>/n Unlock: Oral Endurance
Scat,"She sits on your face and uses you for scat — short brown bursts and splat FX during FaceSit / ButtFaceSit. Pair with Smothering. Optional WAVs go in VSFartSounds/Scat/."
Skunk Girl,"Turns her into a skunk girl — black/white striped tail on her hips and musk spray bursts. Pair with Smothering / Farting. Optional WAVs in VSFartSounds/Skunk/."
Panty Sharting,"Muffled wet panty sharts — quieter brown-yellow gas near her butt, FaceSit/ButtWorship tasks. Pair with Farting + Smothering."
Stinky Socks,"Her dirty socks on your face — uses the FaceStomp / foot-in-face animation. Enable with Smothering + Feet. Do NOT enable the Socks toy for this (that is hand/standing sock play)."
Stinky Armpits,"Armpit smell torture — PitSmother and pit worship sniffing. Pair with Armpit + Smothering. Light musk FX."
Her Watersports,"She pees on you during FaceSit / ButtFaceSit. Enable with Smothering. Turn OFF Watersports if you only want her-on-you (Watersports alone is your self-piss standing tasks)."
